algorithm,speed_mu,speed_sigma,bw_channel,trace_len,tot_EN,size_chunk,size_file,tot_user,tau,avg_hit,avg_miss,avg_PoF,avg_num_feedback,tau_begin,tau_decay_step,tau_end,finish_code_list,overflow
distributed,24,3.0,100,300,50,64,40000,100,,95.68000000000006,529.3199999999998,5.860000000000013,,,,,,5.0
distributed,25,3.125,100,300,50,64,40000,100,,101.02999999999996,523.97,5.860000000000013,,,,,,5.0
distributed,26,3.25,100,300,50,64,40000,100,,111.89999999999996,513.0999999999998,5.860000000000013,,,,,,5.0
distributed,27,3.375,100,300,50,64,40000,100,,120.51000000000002,504.4900000000004,5.860000000000013,,,,,,5.0
distributed,28,3.5,100,300,50,64,40000,100,,131.09,493.9099999999999,5.860000000000013,,,,,,5.0
distributed,29,3.625,100,300,50,64,40000,100,,147.96000000000006,477.04,5.860000000000013,,,,,,5.0
distributed,30,3.75,100,300,50,64,40000,100,,171.44000000000008,453.5600000000002,5.860000000000013,,,,,,5.0
distributed,31,3.875,100,300,50,64,40000,100,,188.6,436.39999999999986,5.860000000000013,,,,,,5.0
distributed,32,4.0,100,300,50,64,40000,100,,220.91,404.09,5.860000000000013,,,,,,5.0
distributed,33,4.125,100,300,50,64,40000,100,,264.38000000000005,360.6200000000002,5.860000000000013,,,,,,5.0
distributed,15,1.875,100,300,50,64,40000,100,,107.10999999999993,517.8900000000001,10.543333333333337,,,,,,10.0
distributed,16,2.0,100,300,50,64,40000,100,,111.97,513.03,10.543333333333337,,,,,,10.0
distributed,17,2.125,100,300,50,64,40000,100,,116.52,508.4800000000001,10.543333333333337,,,,,,10.0
distributed,18,2.25,100,300,50,64,40000,100,,123.02000000000004,501.97999999999985,10.543333333333337,,,,,,10.0
distributed,19,2.375,100,300,50,64,40000,100,,128.83999999999992,496.16000000000014,10.543333333333337,,,,,,10.0
distributed,20,2.5,100,300,50,64,40000,100,,136.15999999999994,488.84000000000015,10.543333333333337,,,,,,10.0
distributed,21,2.625,100,300,50,64,40000,100,,144.45,480.55,10.543333333333337,,,,,,10.0
distributed,22,2.75,100,300,50,64,40000,100,,152.12999999999997,472.87,10.543333333333337,,,,,,10.0
distributed,23,2.875,100,300,50,64,40000,100,,162.98,462.02,10.543333333333337,,,,,,10.0
distributed,24,3.0,100,300,50,64,40000,100,,176.09,448.91,10.543333333333337,,,,,,10.0
distributed,25,3.125,100,300,50,64,40000,100,,189.99,435.0099999999998,10.543333333333337,,,,,,10.0
distributed,26,3.25,100,300,50,64,40000,100,,203.36999999999992,421.63,10.543333333333337,,,,,,10.0
distributed,27,3.375,100,300,50,64,40000,100,,221.42999999999995,403.57,10.543333333333337,,,,,,10.0
distributed,28,3.5,100,300,50,64,40000,100,,245.77000000000007,379.23,10.543333333333337,,,,,,10.0
distributed,29,3.625,100,300,50,64,40000,100,,269.25000000000006,355.75000000000017,10.543333333333337,,,,,,10.0
distributed,30,3.75,100,300,50,64,40000,100,,305.55000000000007,319.45,10.543333333333337,,,,,,10.0
distributed,31,3.875,100,300,50,64,40000,100,,349.35,275.64999999999986,10.543333333333337,,,,,,10.0
distributed,32,4.0,100,300,50,64,40000,100,,401.3399999999999,223.66,10.543333333333337,,,,,,10.0
distributed,33,4.125,100,300,50,64,40000,100,,486.83999999999986,138.16000000000003,10.543333333333337,,,,,,10.0
ACBC,15,1.875,100,300,50,64,40000,100,0.9,625.0,0.0,2.4976000000000007,6.0,,,,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",
ACBC,16,2.0,100,300,50,64,40000,100,0.9,625.0,0.0,2.5488,6.0,,,,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",
ACBC,17,2.125,100,300,50,64,40000,100,0.9,625.0,0.0,2.4816,6.5,,,,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",
ACBC,18,2.25,100,300,50,64,40000,100,0.9,625.0,0.0,2.5104,5.0,,,,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",
ACBC,19,2.375,100,300,50,64,40000,100,0.9,625.0,0.0,2.3680000000000003,6.0,,,,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",
ACBC,20,2.5,100,300,50,64,40000,100,0.9,625.0,0.0,2.3904,6.0,,,,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",
